name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Eunon Blackwood (né Wood),Male,['Horticulturalist'],Hufflepuff,,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Elizabeth Burke,Female,['Headmistress of Hogwarts (before 1943)'],Slytherin,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],"['Professor', 'Headmistress']",,,,,,,,,
Elladora Black,Female,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,['Aunt Elladora'],[],,,,,,,,,
Eldritch Diggory,Male,['Minister for Magic'],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Edward Remus Lupin,Male,[],Hufflepuff,,Human,Half-blood,,,,,master,,,,,"['Teddy (by family and friends)', 'Ted']",['Head Boy'],,,,,,,,,
Edgar Hexsmith,Male,[],Gryffindor,,Human,Pure-blood,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Yann Fredericks,Male,[],Gryffindor,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Dugald McPhail,Male,['Minister for Magic (1858–1865)'],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Antidote,,,,,,,,,,,master,,,Reversed poisons,Varies,,,,,,Varies,Varies,Varies (Mandrake was common component),Varies,Varies,
Dorea Potter (née Black),Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Donaghan Tremlett,Male,['Bass player for the Weird Sisters'],,Non-corporeal,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Dirk Cresswell,Male,['Head of the Goblin Liaison Office'],,Non-corporeal,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Eustace Fawley,Male,[],Hufflepuff,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Goyle,Male,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Evan Rosier,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Gormlaith Gaunt,Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,['William Sayre'],[],,,,,,,,,
Grace Pinch-Smedley,Female,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Yubert Thorne,Male,"['Herbologist', 'Shop owner']",Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Giffard Abbott,Male,['Headmaster of Hogwarts School'],Hufflepuff,,Human,Pure-blood (most likely),,,,,master,,,,,[],"['Professor', 'Headmaster']",,,,,,,,,
Gerard Grey,Male,['Pack leader'],,Wolf,Human (Werewolf),Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Zenobia Noke,Female,[],Ravenclaw,,Human,Half-blood or Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Grim Marshall Fawley,Male,"['Research assistant in the Department of Magical Law Enforcement (formerly)', 'Head research assistant in the Department of Magical Law Enforcement (formerly)', 'Unspeakable']",Hufflepuff,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,['Barghest (possibly)'],[],,,,,,,,,
Grogan Stump,Male,['Minister for Magic (1811–1819)'],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Garreth Weasley,Male,[],Gryffindor,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Gruffyd Wellnelly,Male,[],"Gryffindor, Hufflepuff, or Slytherin",,Human,Pure-blood,,,,,master,,,,,['Gruff (by Baglan Wellnelly)'],['Seeker'],,,,,,,,,
Fleur Isabelle Weasley (née Delacour),Female,['Part-time employee at Gringotts Wizarding Bank'],,Non-corporeal,Part-human/quarter-Veela,Half-breed (quarter-Veela),,,,,master,,,,,"['Phlegm (by Ginevra Potter)', 'Harry Potter (under disguise of Polyjuice Potion)']","['Triwizard Champion', 'Seeker']",,,,,,,,,
Gryffindor Dragon Club member,Female,[],Gryffindor,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Fleamont Potter,Male,"['Potioneer', 'Businessman (formerly)']",Gryffindor,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Fischer Frey,Male,[],Slytherin,Crocodile,Human,,,,,,master,,,,,[],[],,,,,,,,,
Gryffindor girl,Female,[],Gryffindor,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Gwendoline Hedgeflower,Female,[],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Gwydion Idris,Male,[],Slytherin,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Felix Rosier's father,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Felix Rosier,Male,['Dragonologist'],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Prefect'],,,,,,,,,
Fay Dunbar,Female,[],Gryffindor,,Human,Pure-blood or half-blood (possibly),,,,,master,,,,,[],[],,,,,,,,,
Ewan Ward,Male,['Auror'],Hufflepuff,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Everett Avery,Male,[],Hufflepuff,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Flora Carrow,Female,[],Slytherin,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Tulip Karasu,Female,['Inventor of prank devices'],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,['Little Sproutling (by Mary and Rosa Karasu)'],[],,,,,,,,,
Dedalus Diggle,Male,[],,Non-corporeal,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Avery I,Male,[],Slytherin,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Araminta Meliflua Black,Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Arcturus Black,Male,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Artemisia Lufkin,Female,['Minister for Magic (1798–1811)'],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Astrid Cole,Female,"['Herbologist', ""Plant-based Healer at St Mungo's""]",Ravenclaw,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Avery II,Male,[],Slytherin,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Felix Felicis,,,,,,,,,,,master,,,Makes the drinker lucky,"Molten gold in colour, Droplets leap like goldfish above potion's surface when in cauldron",,,,,,Advanced,Zygmunt Budge,"Ashwinder egg, Squill bulb, Murtlap tentacles, Tincture of thyme, Occamy eggshell, Powdered common rue","Giddiness and recklessness with overuse, Extremely toxic in large quantities, Highly disastrous if brewed incorrectly",Six months,
Badeea Ali,Female,['Magical tea shop employee'],Ravenclaw,,Human,Half-blood or Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Baglan Wellnelly,Male,[],"Gryffindor, Hufflepuff, or Slytherin",,Human,Pure-blood,,,,,master,,,,,[],['Beater'],,,,,,,,,
Barnaby Lee's father,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Toast Giver'],,,,,,,,,
Barnaby Lee's mother,Female,[],Slytherin,,Human,Pure-blood or half-blood (presumably),,,,,master,,,,,[],[],,,,,,,,,
Bartemius Crouch Senior,Male,"['Head of the Department of Magical Law Enforcement (?–after 1981)', 'Head of the Department of International Magical Co-operation (1990–1995)']",,Non-corporeal,Human,Pure-blood,,,,,master,,,,,['Barty'],[],,,,,,,,,
Beatrice Haywood,Female,[],Hufflepuff,,Human,Half-blood,,,,,master,,,,,['Bea (by Penny)'],[],,,,,,,,,
Apollonia Black,Female,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],['Mistress (by Scrope)'],,,,,,,,,
Anne Sallow,Female,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Daphne Greengrass,Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Alexia Walkin Black,Female,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Abraham Grimblehawk,Male,[],Hufflepuff,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Abraham Ronen,Male,"['Charms Master at Hogwarts School of Witchcraft and Wizardry', 'Head of Slytherin House at Hogwarts School of Witchcraft and Wizardry']",Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],"['Professor', 'Charms Master', 'Head of Slytherin House']",,,,,,,,,
Abraxas Malfoy,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Albert Runcorn,Male,['British Ministry of Magic official'],,Non-corporeal,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Albus Severus Potter,Male,[],Slytherin,,Human,Half-blood,,,,,master,,,,,"['Al (by Harry Potter)', 'Slytherin Squib (by Karl Jenkins)', 'Ronald Weasley (under disguise of Polyjuice Potion)']",[],,,,,,,,,
Annabel Entwhistle,Female,[],Hufflepuff,,Human,Muggle-born (possibly),,,,,master,,,,,[],[],,,,,,,,,
Alphard Black,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Amelia Fittleworth,Female,[],Hufflepuff,,Human,Pure-blood or half-blood (possibly),,,,,master,,,,,[],[],,,,,,,,,
Amos Diggory,Male,['Employee of the Department for the Regulation and Control of Magical Creatures'],,Non-corporeal,Human,Pure-blood or half-blood (likely),,,,,master,,,,,[],[],,,,,,,,,
Andre Egwu,Male,['Employee of Gladrags Wizardwear'],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,['Style Wizard'],"['Reserve Seeker', 'Keeper']",,,,,,,,,
Andromeda Tonks (née Black),Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,['Dromeda (by Edward Tonks)'],[],,,,,,,,,
Bellatrix Lestrange (née Black),Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,"['Bella (by Narcissa Malfoy, Lord Voldemort, Lucius Malfoy, Kreacher & Severus Snape)']",['Madam'],,,,,,,,,
Belvina Burke (née Black),Female,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Benjamin Copper,Male,['Obliviator for the Magical Congress of the United States of America'],Gryffindor,,Human,Muggle-born,,,,,master,,,,,"['Muggle Celestina Warbeck', 'Flat Face (By Fred and George Weasley)']","['Student guide', 'Duelling Club Referee']",,,,,,,,,
Corvinus Gaunt,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Chiara Lobosca,Female,"[""Healer at St Mungo's Hospital for Magical Maladies and Injuries""]",Hufflepuff,,Human (werewolf),Pure-blood or half-blood,,,,,master,,,,,['Grandma Chiara (by Muggle children)'],[],,,,,,,,,
Clodagh Dromgoole,Female,['Professor of Study of Ancient Runes at Hogwarts School of Witchcraft and Wizardry'],Ravenclaw,,Human,Half-blood,,,,,master,,,,,[],['Professor'],,,,,,,,,
Colby Frey,Male,[],Slytherin,Rhinoceros,Human,,,,,,master,,,,,[],[],,,,,,,,,
Crabbe,Male,[],Slytherin (likely),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Hestia Carrow,Female,[],Slytherin,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Craig Bowker Junior,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],"['Prefect', 'Head Boy']",,,,,,,,,
Cygnus Black,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Daniel Page,Male,[],,Black cat,Human,Half-blood,,,,,master,,,,,['Danny'],[],,,,,,,,,
Chester Davies,Male,['Employee in the Improper Use of Magic Office'],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Prefect'],,,,,,,,,
Charis Crouch (née Black),Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Chadwick Boot,Male,"['Founder of Ilvermorny School of Witchcraft and Wizardry', 'Author']",Thunderbird,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Founder'],,,,,,,,,
Celestina Warbeck,Female,['Singer'],Gryffindor,,Human,Half-blood,,,,,master,,,,,['The Singing Sorceress'],"['Madam', 'Club president']",,,,,,,,,
Cedrella Weasley (née Black),Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Catriona McClintock,Female,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Cassius Warrington,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Cassiopeia Black,Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Cassandra Vole's mother,Female,[],Hufflepuff,,Human or part-human/quarter-Veela,Half-breed (quarter-Veela) (possibly),,,,,master,,,,,[],[],,,,,,,,,
Cassandra Vole's father,Male,['British Ministry of Magic employee'],Hufflepuff,,Human or part-human/quarter-Veela,Half-breed (quarter-Veela) (possibly),,,,,master,,,,,[],[],,,,,,,,,
Callum McClintock,Male,"['Curse-Breaker for Gringotts Wizarding Bank (formerly)', 'Agent of the Rare, Obscure, and Confounding Case Division']",Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Callidora Longbottom (née Black),Female,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Cadogan,Male,"['Knight of the Round Table', 'Gryffindor Tower door guard (temporarily)']",Gryffindor,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Sir'],,,,,,,,,
Boy who owned a magic hamster,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Boy who attended Charm School,Male,[],Slytherin,,Human,Half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Hesper Black,Female,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
James Sirius Potter,Male,[],Gryffindor,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Priya Sharma,Female,[],Slytherin,,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Queenie Goldstein,Female,['Desk job in the Wand Permit Office (formerly)'],Pukwudgie,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Rabastan Lestrange,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Ravenclaw boy,Male,[],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Ravenclaw girl,Female,[],Ravenclaw,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Reginald Cattermole,Male,['Department of Magical Maintenance employee'],,Non-corporeal,Human,Pure blood or half-blood,,,,,master,,,,,['Reg'],[],,,,,,,,,
Regulus Black,Male,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Renka Rabblehauser,Female,"['Shop owner (formerly)', 'Activist']",Ravenclaw,,Human,Pure-blood (self-proclaimed),,,,,master,,,,,[],[],,,,,,,,,
Rhys Maybury,Female,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Rionach O'Neal,Female,[],Gryffindor,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Rita Skeeter,Female,"['Gossip Correspondent for the Daily Prophet', 'Quidditch commentator', 'Biographical author']",,Non-corporeal,Human,Pure-blood or half-blood (possibly),,,,,master,,,,,['Queen of the Quills'],[],,,,,,,,,
Rodolphus Lestrange,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Porpentina Esther Scamander (née Goldstein),Female,"['Federal Wand Permit Officer (formerly)', 'Head of the Department of Aurors at the Magical Congress of the United States of America (c. 1932- pre 1990s)']",Thunderbird,,Human,Half-blood,,,,,master,,,,,"['Tina (by friends & family)', 'Teenie/Teen (by Queenie Goldstein)']",[],,,,,,,,,
Poppy Sweeting,Female,[],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Polly Chapman,Female,[],Gryffindor,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Pollux Black,Male,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Pius Thicknesse,Male,"['Head of the Department of Magical Law Enforcement (formerly)', 'Minister for Magic (formerly)']",,Non-corporeal,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],['Minister'],,,,,,,,,
Pippa Macmillan,Female,[],Gryffindor,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Phoebe Black,Female,[],Slytherin (probably),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Phineas Nigellus Black,Male,['Head of Hogwarts School of Witchcraft and Wizardry'],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],"['Professor', 'Head of Hogwarts School of Witchcraft and Wizardry']",,,,,,,,,
Phineas Black,Male,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Penny Haywood,Female,['Potioneer at the Apothecary'],Hufflepuff,,Human,Half-blood,,,,,master,,,,,['Miss Chirpy (by Ismelda Murk)'],['Student guide'],,,,,,,,,
Penelope Fawley (née Padgett),Female,['Auror'],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,['Nel'],"['Prefect', 'Lead Auror']",,,,,,,,,
Patricia Rakepick,Female,"['Head Curse-Breaker at Gringotts Wizarding Bank (?–1988)', 'Professor of Defence Against the Dark Arts at Hogwarts School of Witchcraft and Wizardry (1988–1989)']",Gryffindor,Lioness,Human,,,,,,master,,,,,[],"['Madam', 'Professor']",,,,,,,,,
Virgil Fowler,Male,[],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,['Mr Gloomy (by Rhys Maybury)'],[],,,,,,,,,
Virgil Fowler's parents,"Male, Female",[],Slytherin,,Humans,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Roger Davies,Male,[],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,[],"['Captain', 'Chaser']",,,,,,,,,
Viggo Victor,Male,[],Horned Serpent,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Ominis Gaunt's father,Male,[],Slytherin (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Ravenclaw boy,Male,[],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sue Li,Female,[],Ravenclaw,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sullivan Fawley,Male,[],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Unidentified Hufflepuff girl,Female,[],Hufflepuff,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Talbott Winger,Male,['Hit Wizard'],Ravenclaw,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
The Bloody Baron,Male,['Slytherin House Ghost'],Slytherin,,"Human (formerly), Ghost",Pure-blood or half-blood (most likely),,,,,master,,,,,[],['Baron'],,,,,,,,,
Unidentified female Death Eater,Female,[],Slytherin (possibly),,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Theodore Nott,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Theseus Scamander,Male,['Head of the British Auror Office'],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Timothy Morcott,Male,[],Slytherin,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Unidentified Death Eater in the Forbidden Forest,Male,[],Slytherin (possibly),,Human,Pure-blood or Half-blood,,,,,master,,,,,[],['Death Eater'],,,,,,,,,
Stephen Cornfoot,Male,[],Ravenclaw or Hufflepuff,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Stanley Shunpike,Male,['Conductor of the Knight Bus'],,Non-corporeal,Human,Pure-blood or half-blood,,,,,master,,,,,['Stan'],[],,,,,,,,,
Unidentified Slytherin student,Female,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Kettleburn,Male,['Professor of Care of Magical Creatures (? - 1993)'],Hufflepuff,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Professor'],,,,,,,,,
Unidentified student,Male,[],Hufflepuff,,Human,Pure-blood or Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Septimus Weasley,Male,[],Gryffindor (possibly),,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Sebastian Sallow,Male,[],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,"[""Your father's son (by Solomon Sallow)""]",[],,,,,,,,,
Scorpius Hyperion Malfoy,Male,[],Slytherin,,Human,Pure-blood,,,,,master,,,,,"['Malfoy the Unanxious (by himself)', 'Scorpius the Dreadless (by himself)', 'Scorpion King (by Rose Granger-Weasley and other Hogwarts students in an alternate timeline)', 'Harry Potter (under disguise of Polyjuice Potion)']",[],,,,,,,,,
Scabior,Male,['Chief Snatcher'],Slytherin,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
