name,gender,job,house,wand,patronus,species,blood_status,hair_colour,eye_colour,loyalty,skills,birth,death,known_ingredients,effect,characteristics,difficulty_level,incantation,type,light,slug,alias_names,animagus,boggart,born,died,eye_color,family_members,hair_color,height,jobs,marital_status,nationality,romances,skin_color,titles,wands,weight,category,creator,hand,difficulty,inventors,ingredients,manufacturers,side_effects,time
Amos Diggory,Male,Employee of the Department for the Regulation and Control of Magical Creatures[,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Brown,Ruddy,Minister of Magic,Works for the Department for the Regulation and Control of Magical Creatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedalus Diggle,Male,,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,,Order of the Phoenix,An enthusiastic volunteer for the Order and a helpful escort for Harry and his relatives,Pre 1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elphias Doge,Male,Special Advisor to the Wizengamot,,Unknown,Non-corporeal,Human,Pure-blood,Silver,Grey/Blue[,Order of the Phoenix,Writing,1 September 1880 - 31 August 1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleur Isabelle Delacour,Female,Part-time at Gringotts Wizarding Bank,Beauxbatons Academy of Magic,"9½"", Rosewood, veela hair",Non-corporeal,Human,Quarter-Veela,Silvery-blonde,Dark blue[,Order of the Phoenix,"part Veela, and therefore possesses some of their magical powers. She was also selected to compete in the Triwizard Tournament","Pre 30 October, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberforth Dumbledore,Male,Owner and Barman of the Hog's Head Inn,,Unknown,Goat,Human,Half-blood,Grey,Bright Blue,Order of the Phoenix,"Bartending, caring for Ariana",1 September 1883-31 August 1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mundungus Fletcher,Male,Dealer of wizarding artifacts,,Unknown,Non-corporeal,Human,Half-blood[,Ginger,Brown,Order of the Phoenix,"Gathering information for the Order, dealing in stolen cauldrons, 'acquiring' the odd Muggle car",Before 1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturgis Podmore,Male,Advance Guard,,Unknown,Unknown,Human,Pure-blood or half-blood,Straw-coloured,Brown,Order of the Phoenix,Carrying out guard duty for the Order,8 September 1956 - 7 September 1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hestia Jones,Female,Advance Guard,,Unknown,Unknown,Human,Pure-blood or half-blood,Black,,Order of the Phoenix,Carrying out escort missions for the Order,Pre 1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlene McKinnon,Female,,,Unknown,Unknown,Human,,Red,Brown,Original Order of the Phoenix,,,"July, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian Prewett,Male,,,Unknown,Unknown,Human,Pure-blood,Red,Grey,Original Order of the Phoenix,Duelling,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gideon Prewett,Male,,,Unknown,Unknown,Human,Pure-blood,Red,Dark Grey,Original Order of the Phoenix,Duelling,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmeline Vance,Female,Advance Guard,,Unknown,Unknown,Human,,,,Order of the Phoenix,,pre 1964,"Early July, 1996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar Bones,Male,,Hufflepuff,Unknown,Unknown,Human,Pure-blood or half-blood,Reddish-brown,Grey,Original Order of the Phoenix,Said to be a great wizard,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorcas Meadowes,Female,,,Unknown,Unknown,Human,,Black,Brown,Original Order of the Phoenix,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjy Fenwick,Male,,,Unknown,Unknown,Human,,Black,Black,Original Order of the Phoenix,,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madame Olympe Maxime,Female,Headmistress of Beauxbatons Academy of Magic,Beauxbatons Academy of Magic,Unknown,Unknown,Half-Human/Half-Giant,Part-Human (Half-giant),Brown,Black,,"An ‘excellent dancer’, in the words of Dumbledore himself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrielle Delacour,Female,,Beauxbatons Academy of Magic,Unknown,Unknown,Human,Quarter-Veela,Silvery-blonde,,,part Veela and therefore may possess some of their magical powers,31 July 1985 - 30 July 1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor Krum,Male,Seeker for the Bulgarian National Quidditch team,Durmstrang Institute,"10¼"", Hornbeam, dragon heartstring",Unknown,Human,Pure-blood or half-blood,Dark,Dark,,One of the best Seekers in the world,"April-August, 1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petunia Dursley,Female,,,,,Human,Muggle,Blonde,,,,Pre 1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Dursley,Male,Director at Grunnings,,,,Human,Muggle,Black,,,"Schmoozing clients, pretending magic doesn't exist",Pre 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudley Dursley,Male,,,,,Human,Muggle,Blond,Blue,,,23 June 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marge Dursley,Female,Dog breeder,,,,Human,Muggle,Grey,,,Breeding bulldogs,Pre 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Creevey,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Mousy brown,,Dumbledore's Army,,1 September 1982 - 31 August 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albus Severus Potter,Male,Student,Slytherin,Unknown,Unknown,Human,Half-blood,Jet-black,Bright green,,,Between 1 September 2005-31 August 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpius Hyperion Malfoy,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,White blond,Grey,,,Between 1 September 2005-31 August 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Remus Lupin,Male,Student,Hufflepuff,Unknown,Unknown,Human (Metamorphmagus),Half-blood,Variable,Variable,,,"April, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Sirius Potter,Male,Student,Gryffindor,Unknown,Unknown,Human,Half-blood,,,,,1 September 2003-31 August 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Granger-Weasley,Female,Student,Gryffindor,Unknown,Unknown,Human,Half-blood,Red,,,Chaser,1 September 2005-31 August 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argus Filch,Male,Caretaker of Hogwarts,,,,Human,Squib,Grey,Pale,Hogwarts School of Witchcraft and Wizardry,Sniffing out mischief,Pre 1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppy Pomfrey,Female,Matron at Hogwarts School,,Unknown,Non-corporeal,Human,Pure-blood or half-blood,,,Hogwarts School of Witchcraft and Wizardry,Skilled medical healer,pre 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolanda Hooch,Female,Flying Instructor at Hogwarts,,Unknown,Non-corporeal,Human,,Grey,Yellow,Hogwarts School of Witchcraft and Wizardry,"Teaching, flying, refereeing Quidditch matches",pre 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irma Pince,Female,Librarian at Hogwarts,,Unknown,Non-corporeal,Human,,,,Hogwarts School of Witchcraft and Wizardry,,Pre 1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora Sinistra,Female,Astronomer at Hogwarts,,Unknown,Unknown,Human,Pure-blood or half-blood,Dark,Dark,Hogwarts School of Witchcraft and Wizardry,,Pre 1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septima Vector,Female,Professor of Arithmancyat Hogwarts,,Unknown,Unknown,Human,,Black,,Hogwarts School of Witchcraft and Wizardry,,Before 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilhelmina Grubbly-Plank,Female,Substitute professor of Care of Magical Creatures at Hogwarts,,Unknown,Non-corporeal,Human,,Grey,,Hogwarts School of Witchcraft and Wizardry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenrir Greyback,Male,,,Unknown,,Werewolf,,Grey,,Lord Voldemort  | Death Eaters,Physical combat,Pre 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gellert Grindelwald,Male,Revolutionary leader(c. 1920s[6] – 1945),,"15"", Elder, Thestral tail hair core",,Human,Pure-blood or half-blood,Blond,Blue,Gellert Grindelwald's Acolytes,Duelling,1883,"March, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobby,Male,"Malfoy family's house-elf (? - 1993),
Hogwarts kitchens worker (December 1994 - 1998)",,,,House elf,,Green,,,"A type of magic specific to house-elves, performed without a wand which includes the ability to apparate, disarm and make objects levitate",28 June,"Late March, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreacher,Male,"Black family's house-elf (?-1996), 
Harry Potter's house-elf, 
Hogwarts kitchen worker",,,,House elf,,White,,,"Magic performed without a wand which includes the ability to apparate, disarm and make objects levitate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageing Potion,,,,,,,,,,,,,,"Newt spleens , Bananas",Ages drinker temporarily,Green,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortentia,,,,,,,,,,,,,,,Love Potion that causes a powerful infatuation or obsession in the drinker,"Mother-of-pearl sheen, Spiralling steam, Scent is multi-faceted and varies based on what the person likes",Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antidote to Veritaserum,,,,,,,,,,,,,,,Counters the effect of Veritaserum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babbling Beverage,,,,,,,,,,,,,,"Valerian sprigs, Aconite, Dittany",Causes the drinker to speak nonsense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baruffio's Brain Elixir,,,,,,,,,,,,,,"Leaping Toadstools, Frog Brains, Runespoor eggs, Powdered dragon claw",Allegedly increases one's brain power,Green in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Befuddlement Draught,,,,,,,,,,,,,,"Scurvy grass, Lovage, Sneezewort",Recklessness,Dark green in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Love Beguiling Bubbles,,,,,,,,,,,,,,,Causes the drinker to become infatuated with the giver of the potion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Protection Potion,,,,,,,,,,,,,,"Bursting mushrooms, Salamander blood, Wartcap powder",Protects drinker from fire,Purple or Black,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolipan Blemish Blitzer,,,,,,,,,,,,,,Dragon claw,Treats acne,"White in colour, Thick paste consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood-Replenishing Potion,,,,,,,,,,,,,,,Replenishes lost blood,Dark red in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruise removal paste,,,,,,,,,,,,,,,Heals bruises in an hour,"Thick, yellow paste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundimun Secretion,,,,,,,,,,,,,,,"Doxycide, Bundimun Pomade, Cleaning products","Lime green in colour, Emits vapours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn-healing paste,,,,,,,,,,,,,,,Heals burns,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calming Draught,,,,,,,,,,,,,,,Calms the drinker,Blue in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caxambu Style Borborygmus Potion,,,,,,,,,,,,,,,Provokes stomach growling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelidonium Miniscula,,,,,,,,,,,,,,Dark yellow in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confusing Concoction,,,,,,,,,,,,,,"Scurvy grass, Lovage, Sneezewort",Confusion,,Simple to moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cough potion,,,,,,,,,,,,,,,Cures coughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupid Crystals,,,,,,,,,,,,,,,Causes the drinker to become infatuated with the giver of the potion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cure for Boils,,,,,,,,,,,,,,"Dried nettles, 6 snake fangs, 4 horned slugs, 2 porcupine quills, Pungous Onions, Flobberworm Mucus, Ginger root, Shrake spines",Removes boils,"Blue, Emits pink smoke",Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death potion,,,,,,,,,,,,,,,"Highly corrosive, death on contact",Black in colour,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deflating Draught,,,,,,,,,,,,,,,Deflates the target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developing solution,,,,,,,,,,,,,,,Develops moving photographs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doxycide,,,,,,,,,,,,,,"Bundimun Ooze, Streeler shells, Dragon liver, Hemlock essence, Tormentil tincture, Cowbane essence",Temporarily stuns Doxies so that the pests can be removed from a home,"Black in colour, Typically delivered as a spray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Ubbly's Oblivious Unction,,,,,,,,,,,,,,,Heals wounds left by thoughts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draught of Living Death,,,,,,,,,,,,,,"Standard potioning water, Powdered Root of Asphodel, Infusion of Wormwood, Valerian root, A Sopophorous bean, A Sloth brain","Causes the drinker to fall into a deep, death-like slumber",Turns pale lilac colour then clear,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draught of Peace,,,,,,,,,,,,,,"Powdered moonstone, Syrup of Hellebore, Powdered Unicorn horn, Powdered Porcupine quills",Relieves anxiety,Light silver colour and vapour,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potion for Dreamless Sleep,,,,,,,,,,,,,,,"Drowsiness , dreamless sleep",Purple in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Potion,,,,,,,,,,,,,,"Emerald green in colour, Glows phosphorescently","Induces fear, delirium, intense stomach pain and extreme thirst in the drinker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir of Life,,,,,,,,,,,,,,Philosopher's Stone,Immortality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir to Induce Euphoria,,,,,,,,,,,,,,"Shrivelfig, Porcupine quills, Peppermint sprigs, Sopophorous beans, Wormwood",Induces happiness,"Sunshine yellow in colour, Sweet, Aromatic, Emits rainbow when finished",Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everlasting Elixirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essence of Insanity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fake protective potions,,,,,,,,,,,,,,"Bubotuber Pus, Gravy",Supposedly protect the drinker from the effects of dark magic (likely useless),Fraudulent solutions,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Felicis,,,,,,,,,,,,,,"Ashwinder egg, Squill bulb, Murtlap tentacle, Tincture of thyme, Occamy eggshell, Powdered common rue","Makes the drinker lucky, Giddiness and recklessness with overuse, Extremely toxic in large quantities, Highly disastrous if brewed incorrectly",Droplets leap like goldfish above potion's surface when in cauldron,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fergus Fungal Budge,,,,,,,,,,,,,,"Onion juice, Jewelweed, Neem oil","Treats ringworm, fungicide, Potential negative side effects if used by elves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flesh-Eating Slug Repellent,,,,,,,,,,,,,,Repels Flesh-Eating Slugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forgetfulness Potion,,,,,,,,,,,,,,"2 drops of Lethe River Water, 2 Valerian sprigs, 2 measures of Standard Ingredient, 4 mistletoe berries",Memory loss,Orange in colour,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrotting Gas,,,,,,,,,,,,,,,"Causes choking, possibly suffocation",Colourless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hair-Raising Potion,,,,,,,,,,,,,,"Rat tails, Porcupine quills, Billywig stings",Raises hair up on end,Green colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartbreak Teardrops,,,,,,,,,,,,,,,Causes the drinker to become infatuated with the giver of the potion,Red in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herbicide Potion,,,,,,,,,,,,,,"Flobberworm mucus, Horklump juice, Lionfish spines, Standard Ingredient",Kills or damages plants,Green,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiccoughing Solution,,,,,,,,,,,,,,,Presumably causes hiccoughs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invigoration Draught,,,,,,,,,,,,,,"Alihotsy leaves, Dried billywig stings, Peppermint, Stewed Mandrake, Infusion of Wormwood,
Honeywater, Vervain, infusion, Scurvy grass, Lovage",Energises the drinker,Orange,O.W.L. level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kissing Concoction,,,,,,,,,,,,,,,Causes the drinker to become infatuated with the giver of the potion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laxative Potion,,,,,,,,,,,,,,"Two scrumples of an unknown ingredient, An ingredient used in a furnace, Agrimonia",Laxative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Potion Antidote,,,,,,,,,,,,,,"Wiggentree twigs, Castor oil, Extract of Gurdyroot",Serves as an antidote for Love Potion,"Clear, colourless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madame Glossy's Silver Polish,,,,,,,,,,,,,,,Polishes silver objects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandrake Restorative Draught,,,,,,,,,,,,,,Stewed Mandrake,Returns transfigured or cursed individuals to their original state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouth Itching Antidote,,,,,,,,,,,,,,Pale green in colour,Cures mouth itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs Skower's All-Purpose Magical Mess Remover,,,,,,,,,,,,,,,Cleans stains,Strong acrid odour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murtlap Essence,,,,,,,,,,,,,,Murtlap tentacles,Soothes and heals cuts and abrasions,Blue in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepperup Potion,,,,,,,,,,,,,,"Bicorn horn, Mandrake root","Warms up the recipient and cures common cold, Steam emits from drinker's ears",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyjuice Potion,,,,,,,,,,,,,,"Lacewing flies (stewed 21 days), Leeches, Powdered bicorn horn, Knotgrass, Fluxweed (picked at full moon), Shredded Boomslang skin, A bit of the person one wants to turn into (typically hair)",Allows a human drinker to temporarily assume the form of another person,"Before addition of final ingredient: Thick and mud-like, Bubbles slowly
After addition of final ingredient: Taste and colour vary depending on the person being turned into",Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat tonic,,,,,,,,,,,,,,,"Healing potion for rats, Abnormal growth of the rat if too much is drunk",Green-coloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regeneration potion,,,,,,,,,,,,,,"Bone of the father, Flesh of a servant, Blood of a foe",Helps restore non-corporeal wizards to their bodies,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudimentary body potion,,,,,,,,,,,,,,"Snake venom, Unicorn blood",Helps restore non-corporeal wizards to a rudimentary bodies/sustains rudimentary bodies,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrinking Solution,,,,,,,,,,,,,,"Minced daisy roots, Peeled Shrivelfig, Sliced caterpillars, One rat spleen, A dash of leech juice, A splash of cowbane, Wormwood",Causes living beings to shrink to a smaller form,Acid green in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skele-Gro,,,,,,,,,,,,,,"1 Chinese Chomping Cabbage, 3 Puffer-fish, 5 Scarab beetles",Restores bones,"Smokes when poured, Vile taste, Burns on the way down",Above second year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleekeazy's Hair Potion,,,,,,,,,,,,,,"Gomas Barbadensis, Asian Dragon Hair, Petroleum Jelly",Makes hair more manageable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeping Draught,,,,,,,,,,,,,,"4 sprigs of Lavender, 6 measures of Standard Ingredient, 2 blobs of Flobberworm Mucus, 4 Valerian sprigs",Make the drinker quickly fall into a deep but temporary sleep,Dark Purple,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strengthening Solution,,,,,,,,,,,,,,"Salamander blood, Powdered  Griffin claw",Superhuman strength,Turquoise in colour,Moderate to advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swelling Solution,,,,,,,,,,,,,,"Puffer-fish eyes, Dried nettle, Bat spleens",Causes enlargement on contact,,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten-Second Pimple Vanisher,,,,,,,,,,,,,,,"Treats boils, pimples, blackheads and acne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thick golden potion,,,,,,,,,,,,,,,"Healing, curse quarantining",Golden in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truth serum,,,,,,,,,,,,,,Jobberknoll feathers,Drinker tells the truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veritaserum,,,,,,,,,,,,,,,Forces drinker to speak the truth,Clear and odourless like water,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weedosoros,,,,,,,,,,,,,,,Highly poisonous,Deep brown in colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wideye Potion,,,,,,,,,,,,,,"6 snake fangs, 4 measures of Standard Ingredient, 6 dried Billywig stings,  2 sprigs of Wolfsbane","Prevents sleeping, Awakens victim",,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wit-Sharpening Potion,,,,,,,,,,,,,,"Ground scarab beetles, Cut ginger roots, Armadillo bile",Improves intellect,Purple in colour,Moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfsbane Potion,,,,,,,,,,,,,,Wolfsbane,Eases the symptoms of lycanthropy; prevents werewolves from losing their minds post-transformation.,"Faint blue smoke when completed, Unpleasant taste",Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wound-cleaning potion,,,,,,,,,,,,,,,Antiseptic,"Purple liquid, Smokes on contact, Stings on contact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summoning Charm,,,,,,,,,,,,,,,Summons an object,,,Accio,Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Line,,,,,,,,,,,,,,,Prevents people above or below a certain age from access to a target,,,Unknown,Charm,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water-Making Spell,,,,,,,,,,,,,,,Conjures water,,,Aguamenti,"Charm, Conjuration",Icy blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Launch an object up into the air,,,,,,,,,,,,,,,Rockets target upward,,,Alarte Ascendare,Charm,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albus Dumbledore's Forceful Spell,,,,,,,,,,,,,,,Great Force,,,Unknown,Spell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlocking Charm,,,,,,,,,,,,,,,Unlocks target,,,Alohomora,Charm,"Invisible, blue, yellow, or purple",,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Spell,,,,,,,,,,,,,,,Clears airway,,,Anapneo,"Healing spell, Vanishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hex that grows antlers on the head,,,,,,,,,,,,,,,Grows antlers on head,,,Anteoculatia,Hex,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Cheating Spell,,,,,,,,,,,,,,,Prevents cheating,,,Unknown,Charm,Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Disapparition Jinx,,,,,,,,,,,,,,,Prevents Disapparition within a certain area,,,Unknown,Jinx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-intruder jinx,,,,,,,,,,,,,,,Repels intruders,,,Unknown,Jinx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonin Dolohov's curse,,,,,,,,,,,,,,,Injuries capable of killing,,,Unknown,Curse,Purple,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revealing Charm,,,,,,,,,,,,,,,Reveals hidden writing,,,Aparecium,Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracking spell,,,,,,,,,,,,,,,"Reveals traces of magic, including footprints and track marks",,,Appare Vestigium,Charm,Swirl of gold,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparition,,,,,,,,,,,,,,,Magically transports the caster,,,,Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Eructo Charm,,,,,,,,,,,,,,,Jet of water,,,Aqua Eructo,Charm,Ice Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spider repelling spell,,,,,,,,,,,,,,,Repels spiders,,,Arania Exumai,Spell,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowing Charm,,,,,,,,,,,,,,,Slows or stops target's velocity,,,Arresto Momentum,Charm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrow-shooting spell,,,,,,,,,,,,,,,Fires arrows from the caster's wand,,,,Conjuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
